Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
ZNF41,-0.875514375,1.842463213,-6.723003189,3.53E-07,2.63E-05,6.665374114,1.101643357,1.977157732
RAD21,-1.087273336,4.572457515,-6.723249336,3.53E-07,2.63E-05,6.665980587,3.652457001,4.739730336
CNOT7,-1.163441353,2.686987634,-6.728181806,3.49E-07,2.63E-05,6.678132037,1.702537259,2.865978611
SLAIN2,-1.211866865,3.207569298,-6.722132904,3.54E-07,2.63E-05,6.663229795,2.182143489,3.394010354
C6orf62,-2.903768049,4.384887464,-6.724251334,3.52E-07,2.63E-05,6.668449302,1.927852961,4.83162101
NT5C2,-1.171981495,4.8381841,-6.714674346,3.61E-07,2.65E-05,6.644848831,3.846507451,5.018488946
ICMT,-2.047299323,1.911790045,-6.717508304,3.58E-07,2.65E-05,6.651833633,0.179459849,2.226759171
FASTK,0.859242946,5.074552133,6.70724716,3.68E-07,2.69E-05,6.626538774,5.801603857,4.942360911
MXD1,1.639325524,-0.043546876,6.703169318,3.72E-07,2.71E-05,6.616483056,1.343574721,-0.295750803
DDX41,0.988214454,4.191754881,6.692878511,3.82E-07,2.77E-05,6.591097997,5.027936342,4.039721888
LRP10,-2.794902853,3.65689173,-6.691007796,3.83E-07,2.77E-05,6.586482063,1.291973932,4.086876784
PTP4A2,-1.107747977,6.250267728,-6.682395395,3.92E-07,2.82E-05,6.565226017,5.312942517,6.420690494
HRC,1.907934764,-0.000161185,6.673343038,4.01E-07,2.86E-05,6.54287495,1.614245153,-0.293689611
GNL2,1.595925608,2.376341188,6.675078515,3.99E-07,2.86E-05,6.547160723,3.72673978,2.130814172
PEBP1,-5.120190153,3.813589468,-6.668949194,4.05E-07,2.87E-05,6.532022777,-0.518879123,4.60131103
MRPS23,-1.170307912,3.900860251,-6.663086519,4.11E-07,2.90E-05,6.517539364,2.91059971,4.080907622
UTRN,-1.080538681,2.987179338,-6.661152165,4.14E-07,2.91E-05,6.51275979,2.072877378,3.153416058
PSMC2,-2.292961581,4.1384672,-6.659465486,4.15E-07,2.91E-05,6.508591845,2.198268939,4.49123052
GPAA1,1.632459824,4.510407861,6.65551866,4.19E-07,2.92E-05,6.498837589,5.89172002,4.259260196
POLR2D,-1.564561497,1.702823885,-6.645069631,4.31E-07,2.99E-05,6.473005125,0.378964157,1.943525653
HLF,-1.315062289,0.318783251,-6.640189869,4.36E-07,3.01E-05,6.460936954,-0.793961763,0.521100526
SRI,-0.892852251,6.126848185,-6.617812331,4.62E-07,3.16E-05,6.405560439,5.371357819,6.26421007
ROBO1,-1.622984053,1.124836464,-6.619929489,4.59E-07,3.16E-05,6.410802078,-0.248457735,1.374526318
C15orf61,1.031702159,1.201857352,6.593818956,4.91E-07,3.35E-05,6.346122741,2.074836102,1.043133943
TBC1D10B,1.604261903,1.800843804,6.583210797,5.04E-07,3.39E-05,6.319823121,3.158296184,1.554034281
KIZ,1.204948788,1.987152505,6.582520895,5.05E-07,3.39E-05,6.318112292,3.006724556,1.801775768
CNIH1,-1.890445434,5.286102291,-6.584843781,5.02E-07,3.39E-05,6.323872411,3.686494616,5.57694005
CDC37L1,-1.927970345,1.598036221,-6.580254629,5.08E-07,3.39E-05,6.312491996,-0.033323302,1.894647044
